STATE/UT;YEAR;POPULATION;AREA_KM2;LITERACY_RATE
ANDAMAN AND NICOBAR ISLANDS;2001;356650;8249;81.3
ANDAMAN AND NICOBAR ISLANDS;2002;359111;8249;81.7
ANDAMAN AND NICOBAR ISLANDS;2003;361589;8249;82.2
ANDAMAN AND NICOBAR ISLANDS;2004;364084;8249;82.6
ANDAMAN AND NICOBAR ISLANDS;2005;366596;8249;83
ANDAMAN AND NICOBAR ISLANDS;2006;369125;8249;83.5
ANDAMAN AND NICOBAR ISLANDS;2007;371672;8249;83.9
ANDAMAN AND NICOBAR ISLANDS;2008;374237;8249;84.4
ANDAMAN AND NICOBAR ISLANDS;2009;376819;8249;84.8
ANDAMAN AND NICOBAR ISLANDS;2010;379419;8249;85.3
ANDAMAN AND NICOBAR ISLANDS;2011;379944;8249;86.6
ANDAMAN AND NICOBAR ISLANDS;2012;382566;8249;87.1
ANDHRA PRADESH;2001;75728400;162970;60.5
ANDHRA PRADESH;2002;72320622;162970;60.9
ANDHRA PRADESH;2003;69066194;162970;61.3
ANDHRA PRADESH;2004;65958215;162970;61.7
ANDHRA PRADESH;2005;62990096;162970;62.1
ANDHRA PRADESH;2006;60155541;162970;62.5
ANDHRA PRADESH;2007;57448542;162970;62.9
ANDHRA PRADESH;2008;54863358;162970;63.3
ANDHRA PRADESH;2009;52394506;162970;63.7
ANDHRA PRADESH;2010;50036754;162970;64.1
ANDHRA PRADESH;2011;49386799;162970;67
ANDHRA PRADESH;2012;47164393;162970;67.5
ARUNACHAL PRADESH;2001;1098328;83743;54.3
ARUNACHAL PRADESH;2002;1101184;83743;55.4
ARUNACHAL PRADESH;2003;1104047;83743;56.4
ARUNACHAL PRADESH;2004;1106917;83743;57.5
ARUNACHAL PRADESH;2005;1109795;83743;58.6
ARUNACHAL PRADESH;2006;1112681;83743;59.7
ARUNACHAL PRADESH;2007;1115574;83743;60.9
ARUNACHAL PRADESH;2008;1118474;83743;62
ARUNACHAL PRADESH;2009;1121382;83743;63.2
ARUNACHAL PRADESH;2010;1124298;83743;64.4
ARUNACHAL PRADESH;2011;1382611;83743;65.4
ARUNACHAL PRADESH;2012;1386206;83743;66.6
ASSAM;2001;26638600;78438;63.3
ASSAM;2002;26684152;78438;63.8
ASSAM;2003;26729782;78438;64.4
ASSAM;2004;26775490;78438;65
ASSAM;2005;26821276;78438;65.5
ASSAM;2006;26867140;78438;66.1
ASSAM;2007;26913083;78438;66.7
ASSAM;2008;26959104;78438;67.3
ASSAM;2009;27005205;78438;67.9
ASSAM;2010;27051383;78438;68.5
ASSAM;2011;31169272;78438;72.2
ASSAM;2012;31222571;78438;72.8
BIHAR;2001;82879910;94163;47
BIHAR;2002;83090425;94163;48.3
BIHAR;2003;83301475;94163;49.6
BIHAR;2004;83513060;94163;50.9
BIHAR;2005;83725184;94163;52.2
BIHAR;2006;83937846;94163;53.6
BIHAR;2007;84151048;94163;55.1
BIHAR;2008;84364791;94163;56.6
BIHAR;2009;84579078;94163;58.1
BIHAR;2010;84793909;94163;59.6
BIHAR;2011;103804630;94163;61.8
BIHAR;2012;104068294;94163;63.5
CHANDIGARH;2001;901080;114;81.9
CHANDIGARH;2002;902630;114;82.3
CHANDIGARH;2003;904182;114;82.6
CHANDIGARH;2004;905738;114;83
CHANDIGARH;2005;907295;114;83.3
CHANDIGARH;2006;908856;114;83.6
CHANDIGARH;2007;910419;114;84
CHANDIGARH;2008;911985;114;84.3
CHANDIGARH;2009;913554;114;84.7
CHANDIGARH;2010;915125;114;85
CHANDIGARH;2011;1054686;114;86.1
CHANDIGARH;2012;1056500;114;86.4
CHHATTISGARH;2001;20834530;135192;64.7
CHHATTISGARH;2002;20881616;135192;65
CHHATTISGARH;2003;20928808;135192;65.4
CHHATTISGARH;2004;20976108;135192;65.8
CHHATTISGARH;2005;21023514;135192;66.1
CHHATTISGARH;2006;21071027;135192;66.5
CHHATTISGARH;2007;21118647;135192;66.9
CHHATTISGARH;2008;21166375;135192;67.2
CHHATTISGARH;2009;21214211;135192;67.6
CHHATTISGARH;2010;21262156;135192;68
CHHATTISGARH;2011;25540196;135192;70.3
CHHATTISGARH;2012;25597917;135192;70.7
DADRA AND NAGAR HAVELI;2001;220963;491;57.6
DADRA AND NAGAR HAVELI;2002;221462;491;59.3
DADRA AND NAGAR HAVELI;2003;221963;491;61
DADRA AND NAGAR HAVELI;2004;222465;491;62.7
DADRA AND NAGAR HAVELI;2005;222967;491;64.5
DADRA AND NAGAR HAVELI;2006;223471;491;66.4
DADRA AND NAGAR HAVELI;2007;223976;491;68.3
DADRA AND NAGAR HAVELI;2008;224482;491;70.2
DADRA AND NAGAR HAVELI;2009;224990;491;72.2
DADRA AND NAGAR HAVELI;2010;225498;491;74.3
DADRA AND NAGAR HAVELI;2011;342853;491;76.2
DADRA AND NAGAR HAVELI;2012;343628;491;78.4
DAMAN AND DIU;2001;158080;112;78.2
DAMAN AND DIU;2002;158951;112;78.9
DAMAN AND DIU;2003;159827;112;79.6
DAMAN AND DIU;2004;160707;112;80.3
DAMAN AND DIU;2005;161593;112;81
DAMAN AND DIU;2006;162483;112;81.7
DAMAN AND DIU;2007;163379;112;82.5
DAMAN AND DIU;2008;164279;112;83.2
DAMAN AND DIU;2009;165184;112;83.9
DAMAN AND DIU;2010;166094;112;84.7
DAMAN AND DIU;2011;242911;112;87.1
DAMAN AND DIU;2012;244249;112;87.9
DELHI;2001;13851503;1483;81.7
DELHI;2002;13927825;1483;82
DELHI;2003;14004567;1483;82.4
DELHI;2004;14081732;1483;82.8
DELHI;2005;14159323;1483;83.2
DELHI;2006;14237340;1483;83.5
DELHI;2007;14315788;1483;83.9
DELHI;2008;14394668;1483;84.3
DELHI;2009;14473983;1483;84.7
DELHI;2010;14553734;1483;85.1
DELHI;2011;16753235;1483;86.2
DELHI;2012;16845545;1483;86.6
GOA;2001;1348900;3702;82
GOA;2002;1350006;3702;82.6
GOA;2003;1351113;3702;83.1
